URL	TYPE	TIMEFRAME
https://www.wga.hu/html/a/abildgaa/philocte.html	mythological	1751-1800
https://www.wga.hu/html/a/abildgaa/z_adamev.html	religious	1751-1800
https://www.wga.hu/html/a/abondio/maximili.html	portrait	1551-1600
https://www.wga.hu/html/a/acero/cadiz1.html	other	1701-1750
https://www.wga.hu/html/a/acero/cadiz2.html	other	1701-1750
https://www.wga.hu/html/a/achenbac/firework.html	landscape	1851-1900
https://www.wga.hu/html/a/adam1/battle.html	historical	1801-1850
https://www.wga.hu/html/a/adam1/hunt.html	genre	1801-1850
https://www.wga.hu/html/a/adam/lambert/child_lo.html	other	1701-1750
https://www.wga.hu/html/a/adam/lambert/neptune.html	mythological	1701-1750
https://www.wga.hu/html/a/adam/lambert/neptune1.html	mythological	1701-1750
https://www.wga.hu/html/a/adam/lambert/selfport.html	portrait	1701-1750
https://www.wga.hu/html/a/adam/lambert/water.html	other	1701-1750
https://www.wga.hu/html/a/adam/nicolas/martyrdo.html	religious	1701-1750
https://www.wga.hu/html/a/adam/nicolas/opalinsk.html	religious	1701-1750
https://www.wga.hu/html/a/adam/nicolas/opalinsx.html	religious	1701-1750
https://www.wga.hu/html/a/adam/nicolas/promethe.html	mythological	1701-1750
https://www.wga.hu/html/a/adam/nicolas/promethx.html	mythological	1701-1750
https://www.wga.hu/html/a/adam/nicolas/vase.html	mythological	1701-1750
https://www.wga.hu/html/a/adam/nicolas/vase1.html	mythological	1701-1750
https://www.wga.hu/html/a/adam/nicolas/vase2.html	mythological	1701-1750
https://www.wga.hu/html/a/adam2/kedlesto.html	other	1751-1800
https://www.wga.hu/html/a/adam2/kenwood.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/portman1.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/portman2.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/portman3.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/syon1.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/syon2.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/syon3.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/syon4.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/syon5.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/syon6.html	interior	1751-1800
https://www.wga.hu/html/a/adam2/syon7.html	other	1751-1800
https://www.wga.hu/html/a/adam-sal/pereire.html	portrait	1851-1900
https://www.wga.hu/html/a/adelcran/theatre1.html	other	1751-1800
https://www.wga.hu/html/a/adelcran/theatre2.html	interior	1751-1800
https://www.wga.hu/html/a/ademollo/ark.html	religious	1801-1850
https://www.wga.hu/html/a/ademollo/ark1.html	interior	1801-1850
https://www.wga.hu/html/a/ademollo/ark2.html	religious	1801-1850
https://www.wga.hu/html/a/ademollo/ark3.html	religious	1801-1850
https://www.wga.hu/html/a/ademollo/chapel.html	interior	1801-1850
https://www.wga.hu/html/a/ademollo/lucca1.html	historical	1801-1850
https://www.wga.hu/html/a/ademollo/lucca2.html	historical	1801-1850
https://www.wga.hu/html/a/ademollo/lucca3.html	historical	1801-1850
https://www.wga.hu/html/a/ademollo/siena1.html	historical	1801-1850
https://www.wga.hu/html/a/ademollo/siena2.html	historical	1801-1850
https://www.wga.hu/html/a/ademollo/siena3.html	historical	1801-1850
https://www.wga.hu/html/a/adler/selfport.html	portrait	1651-1700
https://www.wga.hu/html/a/adolphi/ruyter.html	historical	1651-1700
https://www.wga.hu/html/a/adriaens/fishgame.html	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stilfish.html	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stilflow.html	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stillife.html	still-life	1601-1650
https://www.wga.hu/html/a/adriaens/stiloyst.html	still-life	1601-1650
https://www.wga.hu/html/a/adriano/frederic.html	portrait	1451-1500
https://www.wga.hu/html/a/adriano/medal.html	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano1.html	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano2.html	portrait	1451-1500
https://www.wga.hu/html/a/adriano/pontano3.html	portrait	1451-1500
https://www.wga.hu/html/a/adriano/venus.html	mythological	1451-1500
https://www.wga.hu/html/a/aelst/breakfas.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/deadbird.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/hunting.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/hunting2.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stil_fru.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilbask.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilflow.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilfrui.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/still_fr.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/still_li.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillfru.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillif.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillife.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilliff.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillpar.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stillpea.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilmous.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/stilvase.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/vasewatc.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/weapons.html	still-life	1651-1700
https://www.wga.hu/html/a/aelst/z_armour.html	still-life	1651-1700
https://www.wga.hu/html/a/aenvanck/fruit.html	still-life	1651-1700
https://www.wga.hu/html/a/aert/susanna.html	religious	1501-1550
https://www.wga.hu/html/a/aertsen/apostles.html	religious	1501-1550
https://www.wga.hu/html/a/aertsen/christ.html	religious	1501-1550
https://www.wga.hu/html/a/aertsen/christ_a.html	still-life	1501-1550
https://www.wga.hu/html/a/aertsen/cook.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/cook1.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/egg-danc.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/fatkitch.html	mythological	1501-1550
https://www.wga.hu/html/a/aertsen/market.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/market1.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/marketsc.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/marketsd.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/marketse.html	still-life	1501-1550
https://www.wga.hu/html/a/aertsen/marketst.html	still-life	1501-1550
https://www.wga.hu/html/a/aertsen/meatsell.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/merry_co.html	genre	1501-1550
https://www.wga.hu/html/a/aertsen/stillife.html	still-life	1501-1550
https://www.wga.hu/html/a/aertsen/triptic1.html	religious	1501-1550
https://www.wga.hu/html/a/aertsen/triptic2.html	religious	1501-1550
https://www.wga.hu/html/a/aertsen/triptic3.html	religious	1501-1550
https://www.wga.hu/html/a/aertsen/vendor_f.html	genre	1501-1550
https://www.wga.hu/html/a/agasse/dogstudy.html	other	1801-1850
https://www.wga.hu/html/a/agasse/gentlema.html	other	1801-1850
https://www.wga.hu/html/a/agasse/horse.html	other	1801-1850
https://www.wga.hu/html/a/agasse/playgrou.html	genre	1801-1850
https://www.wga.hu/html/a/agasse/terriers.html	other	1801-1850
https://www.wga.hu/html/a/agnolo/magdalen.html	religious	1451-1500
https://www.wga.hu/html/a/agnol/tarlati1.html	religious	1301-1350
https://www.wga.hu/html/a/agnol/tarlati2.html	religious	1301-1350
https://www.wga.hu/html/a/agnol/tarlati3.html	religious	1301-1350
https://www.wga.hu/html/a/agnol/tarlati4.html	religious	1301-1350
https://www.wga.hu/html/a/agnol/tarlati5.html	religious	1301-1350
https://www.wga.hu/html/a/agostin/bridget.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/bridget1.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/bridget2.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/carmine.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/gabriel.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/madonna.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/madonna1.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/perugia1.html	mythological	1451-1500
https://www.wga.hu/html/a/agostin/perugia2.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/perugia3.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/perugia4.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/rimini.html	interior	1451-1500
https://www.wga.hu/html/a/agostin/rimini1.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/rimini2.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/rimini3.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/rimini4.html	mythological	1451-1500
https://www.wga.hu/html/a/agostin/rimini5.html	mythological	1451-1500
https://www.wga.hu/html/a/agostin/rimini6.html	mythological	1451-1500
https://www.wga.hu/html/a/agostin/z_miracl.html	religious	1451-1500
https://www.wga.hu/html/a/agostin/z_orator.html	religious	1451-1500
https://www.wga.hu/html/a/agostino/tarlati.html	religious	1301-1350
https://www.wga.hu/html/a/agostino/tarlati1.html	religious	1301-1350
https://www.wga.hu/html/a/agostino/tarlati2.html	religious	1301-1350
https://www.wga.hu/html/a/agostino/tarlati3.html	religious	1301-1350
https://www.wga.hu/html/a/agostino/tarlati4.html	religious	1301-1350
https://www.wga.hu/html/a/agrate/sforza.html	other	1501-1550
https://www.wga.hu/html/a/aguado/puerta.html	other	1801-1850
https://www.wga.hu/html/a/aguado/teatro.html	other	1801-1850
https://www.wga.hu/html/a/aivazovs/9th_wave.html	landscape	1851-1900
https://www.wga.hu/html/a/aivazovs/astrong.html	landscape	1851-1900
https://www.wga.hu/html/a/aivazovs/shipwrec.html	landscape	1851-1900
https://www.wga.hu/html/a/aivazovs/stormy.html	landscape	1851-1900
https://www.wga.hu/html/a/aken/brothers.html	portrait	1701-1750
https://www.wga.hu/html/a/aken/conversa.html	genre	1701-1750
https://www.wga.hu/html/a/aken/vegetab1.html	genre	1701-1750
https://www.wga.hu/html/a/aken/vegetab2.html	genre	1701-1750
https://www.wga.hu/html/a/akotanto/cardioti.html	religious	1401-1450
https://www.wga.hu/html/a/akotanto/congrega.html	religious	1401-1450
https://www.wga.hu/html/a/alba/figsaint.html	religious	1451-1500
https://www.wga.hu/html/a/albani/1/1spring.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/1spring1.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/2summer.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/3autumn.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/4winter.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem1.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem1a.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem2.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem2a.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem3.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem3a.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem4.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5elem4a.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/5verospi.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/6corsini.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/adonis.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/annuncia.html	religious	1601-1650
https://www.wga.hu/html/a/albani/1/dianaact.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/dianacte.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/holy_fam.html	religious	1601-1650
https://www.wga.hu/html/a/albani/1/holyfam.html	religious	1601-1650
https://www.wga.hu/html/a/albani/1/holyfami.html	religious	1601-1650
https://www.wga.hu/html/a/albani/1/venus.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/venus0.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/venus1.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/1/venus2.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton1.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton2.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton3.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton4.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton5.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton6.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton7.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton8.html	mythological	1601-1650
https://www.wga.hu/html/a/albani/2/phaeton9.html	mythological	1601-1650
https://www.wga.hu/html/a/alberegn/apocaly.html	religious	1351-1400
https://www.wga.hu/html/a/alberegn/apocaly1.html	religious	1351-1400
https://www.wga.hu/html/a/alberegn/apocaly2.html	religious	1351-1400
https://www.wga.hu/html/a/alberegn/triptych.html	religious	1351-1400
https://www.wga.hu/html/a/albert/oratory.html	religious	1401-1450
https://www.wga.hu/html/a/alberti1/cherubin/fame.html	mythological	1551-1600
https://www.wga.hu/html/a/alberti1/cherubin/sistine.html	religious	1551-1600
https://www.wga.hu/html/a/alberti1/cherubin/virgin_c.html	religious	1551-1600
https://www.wga.hu/html/a/alberti1/cherubin/virtues.html	religious	1551-1600
https://www.wga.hu/html/a/alberti1/giovanni/ceiling.html	mythological	1551-1600
https://www.wga.hu/html/a/alberti/mantua1.html	religious	1401-1450
https://www.wga.hu/html/a/alberti/mantua2.html	other	1401-1450
https://www.wga.hu/html/a/alberti/mantua3.html	interior	1401-1450
https://www.wga.hu/html/a/alberti/mantua4.html	interior	1401-1450
https://www.wga.hu/html/a/alberti/novella.html	other	1401-1450
https://www.wga.hu/html/a/alberti/novella1.html	religious	1401-1450
https://www.wga.hu/html/a/alberti/novella2.html	other	1401-1450
https://www.wga.hu/html/a/alberti/palazzo.html	other	1401-1450
https://www.wga.hu/html/a/alberti/ruccela.html	other	1401-1450
https://www.wga.hu/html/a/alberti/ruccelai.html	other	1401-1450
https://www.wga.hu/html/a/alberti/ruccelaj.html	other	1401-1450
https://www.wga.hu/html/a/alberti/ruccelak.html	other	1401-1450
https://www.wga.hu/html/a/alberti/selfport.html	portrait	1401-1450
https://www.wga.hu/html/a/alberti/tempiet1.html	other	1401-1450
https://www.wga.hu/html/a/alberti/tempiet2.html	other	1401-1450
https://www.wga.hu/html/a/alberti/tempiet3.html	other	1401-1450
https://www.wga.hu/html/a/alberti/tempio.html	other	1401-1450
https://www.wga.hu/html/a/alberti/tempio1.html	other	1401-1450
https://www.wga.hu/html/a/albertin/adoratio.html	religious	1451-1500
https://www.wga.hu/html/a/albertin/virgin.html	religious	1451-1500
https://www.wga.hu/html/a/albertin/virgin_c.html	religious	1451-1500
https://www.wga.hu/html/a/albertin/visitat.html	religious	1451-1500
https://www.wga.hu/html/a/albertin/visitat1.html	religious	1451-1500
https://www.wga.hu/html/a/albertin/visitat2.html	religious	1451-1500
https://www.wga.hu/html/a/albertin/visitat3.html	religious	1451-1500
https://www.wga.hu/html/a/albertin/visitat4.html	religious	1451-1500
https://www.wga.hu/html/a/albotto/campo.html	landscape	1701-1750
https://www.wga.hu/html/a/albotto/giuseppe.html	landscape	1701-1750
https://www.wga.hu/html/a/alcibar/v_josefa.html	portrait	1751-1800
https://www.wga.hu/html/a/aldrovan/animal1.html	study	1551-1600
https://www.wga.hu/html/a/aldrovan/animal2.html	study	1551-1600
https://www.wga.hu/html/a/aldrovan/animal3.html	study	1551-1600
https://www.wga.hu/html/a/aldrovan/animal4.html	study	1551-1600
https://www.wga.hu/html/a/aldrovan/animal5.html	study	1551-1600
https://www.wga.hu/html/a/aldrovan/animal6.html	study	1551-1600
https://www.wga.hu/html/a/aldrovan/bird1.html	study	1551-1600
https://www.wga.hu/html/a/aldrovan/specimen.html	study	1551-1600
https://www.wga.hu/html/a/aleandri/ariccia.html	other	1801-1850
https://www.wga.hu/html/a/aleandri/macerat1.html	other	1801-1850
https://www.wga.hu/html/a/aleandri/macerat2.html	interior	1801-1850
https://www.wga.hu/html/a/aleandri/macerat3.html	interior	1801-1850
https://www.wga.hu/html/a/aleksand/grapehar.html	genre	1851-1900
https://www.wga.hu/html/a/alekseye/flood.html	historical	1751-1800
https://www.wga.hu/html/a/alekseye/redsquar.html	other	1751-1800
https://www.wga.hu/html/a/alekseye/view_mos.html	landscape	1751-1800
https://www.wga.hu/html/a/alekseye/view_stp.html	landscape	1751-1800
https://www.wga.hu/html/a/alenza/portrait.html	portrait	1801-1850
https://www.wga.hu/html/a/alenza/satire.html	other	1801-1850
https://www.wga.hu/html/a/alessi/assunta.html	religious	1551-1600
https://www.wga.hu/html/a/alessi/villa1.html	other	1551-1600
https://www.wga.hu/html/a/alessi/villa2.html	interior	1551-1600
https://www.wga.hu/html/a/alesso/annuncia.html	religious	1501-1550
https://www.wga.hu/html/a/alesso/crucifix.html	religious	1501-1550
https://www.wga.hu/html/a/alesso/crucifiz.html	religious	1501-1550
https://www.wga.hu/html/a/alesso/madchild.html	religious	1501-1550
https://www.wga.hu/html/a/alesso/pieta.html	religious	1501-1550
https://www.wga.hu/html/a/algardi/1/b_volpi.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/beheadin.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/bust_pam.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/cerri.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/hydra.html	mythological	1601-1650
https://www.wga.hu/html/a/algardi/1/innocent.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/laudivio.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/leo_11.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/leo_11a.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/leo_xi.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/leo_xi_d.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/magdalen.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/majohn.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/maryjohn.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/marymagd.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/mellini.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/neriphil.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/nicholas.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/1/olimpia.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/olimpia1.html	portrait	1601-1650
https://www.wga.hu/html/a/algardi/1/sleep.html	mythological	1601-1650
https://www.wga.hu/html/a/algardi/1/z_villa1.html	other	1601-1650
https://www.wga.hu/html/a/algardi/1/z_villa2.html	other	1601-1650
https://www.wga.hu/html/a/algardi/2/meeting.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/2/meeting1.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/2/meeting2.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/2/meeting3.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/2/meeting4.html	religious	1601-1650
https://www.wga.hu/html/a/algardi/2/meeting5.html	religious	1601-1650
https://www.wga.hu/html/a/alincbro/scenes.html	religious	1401-1450
https://www.wga.hu/html/a/allar/alcesti.html	mythological	1851-1900
https://www.wga.hu/html/a/allar/alcestis.html	mythological	1851-1900
https://www.wga.hu/html/a/allar/alcestix.html	mythological	1851-1900
https://www.wga.hu/html/a/allar/alcestiy.html	mythological	1851-1900
https://www.wga.hu/html/a/allar/child.html	portrait	1851-1900
https://www.wga.hu/html/a/allar/le_play.html	portrait	1851-1900
https://www.wga.hu/html/a/allegrai/christop/venus_ba.html	mythological	1751-1800
https://www.wga.hu/html/a/allegrai/etienne/landmose.html	landscape	1651-1700
https://www.wga.hu/html/a/allegrai/etienne/riverla1.html	landscape	1651-1700
https://www.wga.hu/html/a/allegrai/etienne/riverla2.html	landscape	1651-1700
https://www.wga.hu/html/a/allori/alessand/1poggio.html	mythological	1551-1600
https://www.wga.hu/html/a/allori/alessand/2poggio.html	mythological	1551-1600
https://www.wga.hu/html/a/allori/alessand/3poggio.html	mythological	1551-1600
https://www.wga.hu/html/a/allori/alessand/4poggio.html	historical	1551-1600
https://www.wga.hu/html/a/allori/alessand/5poggio.html	mythological	1551-1600
https://www.wga.hu/html/a/allori/alessand/6poggio.html	study	1551-1600
https://www.wga.hu/html/a/allori/alessand/allegory.html	mythological	1551-1600
https://www.wga.hu/html/a/allori/alessand/annuncia.html	religious	1551-1600
https://www.wga.hu/html/a/allori/alessand/b_christ.html	religious	1551-1600
https://www.wga.hu/html/a/allori/alessand/christia.html	religious	1551-1600
https://www.wga.hu/html/a/allori/alessand/loggetta.html	genre	1551-1600
https://www.wga.hu/html/a/allori/alessand/portra1.html	portrait	1551-1600
https://www.wga.hu/html/a/allori/alessand/portrai2.html	portrait	1551-1600
https://www.wga.hu/html/a/allori/alessand/portrai3.html	portrait	1551-1600
https://www.wga.hu/html/a/allori/alessand/portrai4.html	portrait	1551-1600
https://www.wga.hu/html/a/allori/alessand/portrai5.html	portrait	1551-1600
https://www.wga.hu/html/a/allori/alessand/portrait.html	portrait	1551-1600
https://www.wga.hu/html/a/allori/alessand/preachin.html	religious	1551-1600
https://www.wga.hu/html/a/allori/alessand/st_peter.html	religious	1551-1600
https://www.wga.hu/html/a/allori/alessand/studiolo.html	other	1551-1600
https://www.wga.hu/html/a/allori/alessand/susanna.html	mythological	1551-1600
https://www.wga.hu/html/a/allori/alessand/vasari1.html	other	1551-1600
https://www.wga.hu/html/a/allori/alessand/vasari2.html	other	1551-1600
https://www.wga.hu/html/a/allori/alessand/venus_cu.html	mythological	1551-1600
https://www.wga.hu/html/a/allori/cristofa/judith.html	religious	1601-1650
https://www.wga.hu/html/a/allori/cristofa/judith_h.html	religious	1601-1650
https://www.wga.hu/html/a/allori/cristofa/judith_k.html	mythological	1601-1650
https://www.wga.hu/html/a/allori/cristofa/judith_p.html	mythological	1601-1650
https://www.wga.hu/html/a/allori/cristofa/judith_r.html	mythological	1601-1650
https://www.wga.hu/html/a/allston/uriel.html	other	1801-1850
https://www.wga.hu/html/a/almatade/almatad1.html	mythological	1851-1900
https://www.wga.hu/html/a/almatade/almatad2.html	historical	1851-1900
https://www.wga.hu/html/a/almatade/almatad3.html	genre	1851-1900
https://www.wga.hu/html/a/almatade/almatad4.html	historical	1851-1900
https://www.wga.hu/html/a/almatade/almatad5.html	genre	1851-1900
https://www.wga.hu/html/a/almonaci/vazquez.html	religious	1451-1500
https://www.wga.hu/html/a/almonaci/vazquez1.html	religious	1451-1500
https://www.wga.hu/html/a/alsloot/extensiv.html	landscape	1601-1650
https://www.wga.hu/html/a/alsloot/flight_e.html	religious	1601-1650
https://www.wga.hu/html/a/alsloot/skating.html	landscape	1601-1650
https://www.wga.hu/html/a/alsloot/winter_l.html	landscape	1601-1650
https://www.wga.hu/html/a/alsloot/winterla.html	landscape	1601-1650
https://www.wga.hu/html/a/alt/viewvien.html	landscape	1801-1850
https://www.wga.hu/html/a/altdorfe/1/1satyr.html	landscape	1501-1550
https://www.wga.hu/html/a/altdorfe/1/2landsca.html	landscape	1501-1550
https://www.wga.hu/html/a/altdorfe/1/3danube.html	landscape	1501-1550
https://www.wga.hu/html/a/altdorfe/1/4susanna.html	mythological	1501-1550
https://www.wga.hu/html/a/altdorfe/1/5battle.html	historical	1501-1550
https://www.wga.hu/html/a/altdorfe/1/5battle1.html	historical	1501-1550
https://www.wga.hu/html/a/altdorfe/1/5battle2.html	historical	1501-1550
https://www.wga.hu/html/a/altdorfe/1/6lovers.html	other	1501-1550
https://www.wga.hu/html/a/altdorfe/1/7lot_dau.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/00diptic.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/01sgeorg.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/02egypt.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/02egypt1.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/03nativi.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/04commun.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/05schone.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/06crucif.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/06crucix.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/07cruci.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/07cruci1.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/07cruci2.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/08leave.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/09mary_c.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/10birth.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/11crucif.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/2/12portra.html	portrait	1501-1550
https://www.wga.hu/html/a/altdorfe/3/2scenes.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/3/2scenes1.html	religious	1501-1550
https://www.wga.hu/html/a/altdorfe/3/2scenes2.html	religious	1501-1550
